"","lon","lat","ref","Avg_VPD"
"1",-120.63,38.9,"60",671.5979353
"2",-106.2,53.63,"124",376.7050579
"3",-105.87,39.9,"51",632.9180097
"4",-84,10.26,"115",319.3761279
"5",-82.15,29.73,"70",791.3461919
"6",-80.58,42.66,"135",503.7852471
"7",-79.25,-4.06,"79",312.8277057
"8",-75.167,42.5,"155",467.923462
"9",-74.43,49.69,"72",436.0298425
"10",-72.41,-35.5,"171",332.6323025
"11",-66.6,45.95,"140",393.9617496
"12",-61.91666667,-10.08333333,"113TRY",760.4811746
"13",-60.01666,-3.11666666,"195",NA
"14",-60.01666,-3.11666666,"44",679.1500327
"15",-60.01666,-3.11666666,"45",NA
"16",-51.45,-1.72,"50Lucy",670.780543
"17",-27.25,28.583,"177",558.8821375
"18",-16.57,28.3,"80",558.8821375
"19",-4.017,40.867,"167",724.0598654
"20",-1.15,38.95,"151",723.3797795
"21",2.166666667,48.83333333,"199TRY",420.6840274
"22",3.58,43.73,"73",652.4529613
"23",6.946,51.225,"168",396.8215974
"24",7.066666667,48.66666667,"32TRY",377.6632065
"25",10.45222222,51.07944444,"202TRY",397.1115618
"26",11,47,"141",245.3375485
"27",11.5,3.383333333,"113TRY",450.4999018
"28",12.15,58.38,"84",290.0985176
"29",13.58,41.85,"125",447.0166396
"30",18.32,49.3,"116",302.0344257
"31",18.53,49.5,"112",NA
"32",18.53,49.5,"74",302.0344257
"33",18.533333,49.5,"35",302.0344257
"34",19.76,64.23,"152",352.9588808
"35",30.81666667,62.86666667,"208TRY",417.8740628
"36",33,56,"36",528.4038758
"37",35.05,31.33,"147",1443.435656
"38",80.38,60.75,"165",348.7962477
"39",101.266666,21.933333,"8",709.6241714
"40",102.033333,24.5333333,"17",760.5569694
"41",102.995,29.5725,"22",215.947758
"42",113.2833333,23.133333,"21",648.9514223
"43",114.03,4.2,"91",455.247435
"44",114.035,31.49,"120",562.5368352
"45",114.07,31.82,"185",592.2385813
"46",114.5,36.4166666,"13",849.4695737
"47",114.5,36.417,"96",849.4695737
"48",115.07,26.75,"28",NA
"49",115.07,26.75,"6",616.4018855
"50",115.0702777,26.74666,"2",616.4018855
"51",116.33,40.03,"27",838.8016619
"52",116.85,42.03333333,"19",655.9284453
"53",117.25,42.315,"14",655.9284453
"54",117.95,26.47,"3",517.4874438
"55",117.95,26.47,"4",NA
"56",121.95,50.62,"67",456.1864087
"57",124.22,52.19,"67",481.1667078
"58",125.2,50.45,"67",573.9055735
"59",126.63,45.72,"25",672.1312916
"60",126.8,49.62,"67",559.2370908
"61",127.53,45.38,"182",537.4127218
"62",127.566666,45.33333,"18",537.4127218
"63",127.57,45.33,"7",537.4127218
"64",127.666666,45.4,"16",537.4127218
"65",127.6666666,45.4,"11",537.4127218
"66",127.6666666,45.4,"12",NA
"67",128.1,42.4,"1",370.5861196
"68",129.42,48.67,"67",455.4438366
"69",130.42,47.55,"67",493.6648302
"70",131.11,-12.46,"Darwin",1110.22629
"71",132.65,34.38,"135",539.1324934
"72",132.65,34.38,"170",NA
"73",141.58,36.32,"81",500.0673048
"74",145.62,-17.12,"Qld",551.0142746
"75",148.93,-35.35,"160",433.4659709
"76",150.74,-33.62,"173",NA
"77",150.74,-33.62,"76",386.5261521
"78",151.29,-33.58,"Sydney",549.4249192
"79",170.3,-43,"198TRY",188.9959744
"80",172.75,-41.58,"117",189.4128887
